time,lyrics
0,
1750,C’mon C’mon C’mon C’mon C’mon C’mon
3800,Burning 소울!
8583,
19900,「가자!」
20332,
20333,그 이름은 영혼 차원을 뛰어넘는 애슬리트
26933,강인한 맹자들 뿐이니
30117,넘쳐흐를 듯한 FIGHTING ENERGY
33666,
33667,이제부터 다시 시작이잖아? (good luck girl)
37133,스페셜한 MY STORY (waking up)
40583,꿈을 논하라 누구보다도 불타올라 뜨거워져라!
48782,
48783,불꽃 튀는 승부!
50433,(Ready GO!) 신나게 가자!
51967,한 번 더 힘차게 가자!
53700,마지막 한 걸음은 바로 「POWER」
57033,(Ready GO!) 울리는 고동 소리를 자신감으로 바꿔
60717,믿기로 결심한 그 땀방울을 손에 쥐고
66750,자
67350,C’mon C’mon C’mon C’mon C’mon C’mon
69600,Burning 소울!
72482,
72483,내디딘 이 길은
74417,험난하고 괴로워서
76117,몇 번이고 포기하고 싶었어
79567,하지만 괜찮아
81167,이젠 알아
82483,전부 「지금」을 위한 거란 걸
86716,
86717,Ready GO! 걸어온 궤적
89167,최전선은 이 Stage
90900,어제보다 오늘 더 선명하게 빛나는 GLORY
94650,(Ready GO!) 전력을 다한 슛으로
96067,한 번 더 영광의 골!
97817,마지막 한 걸음은 바로 「POWER」
101233,(Ready GO!) 울려 퍼지는 응원을 용기로 바꿔
104800,믿기로 결심한 그 땀방울을 손에 쥐고
110717,자
111583,C’mon C’mon C’mon C’mon C’mon C’mon
113783,Burning 소울!
116800,
123550,
124283,
